S. No.,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
1,Greater Mumbai,Mumbai(C),143300,77778,7434,190932,12002,2558,36891,0,0,5672,1920,41,1045,993,11,8847,1105,10020,5214,829,831,4133
2,Greater Mumbai,Mumbai(W),178634,136917,15197,163857,7411,956,9474,0,61128,0,1813,743,267,380,0,4264,143,4503,15246,448,74,192
3,Greater Mumbai,Mumbai€,92487,51882,10580,54101,4153,243,11018,0,43771,0,776,94,220,146,0,2076,531,2906,4702,125,82,551
4,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thane Region,Thane,290746,142459,12906,194808,36349,3135,14838,0,73822,1180,5382,199,1406,511,3841,63064,11479,39007,23727,1197,5106,996
6,Thane Region,Kalyan,112476,61392,8611,19060,3530,87,1679,0,32961,342,409,37,127,193,6,6470,514,3053,5931,238,260,118
7,Thane Region,Vashi Navi Mumbai,23408,2555,5,18721,1881,0,1528,0,3032,17,804,0,143,37,1429,5291,210,1588,1320,20,29,0
8,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Panvel Region,Pen-Raigad,98212,47037,2315,39872,12195,315,9470,0,19301,15,234,218,141,280,4632,11434,1232,8058,4188,522,728,1715
11,Panvel Region,Ratnagiri,55340,21322,3967,8634,4117,483,275,0,14152,588,152,43,58,149,27,4553,108,3886,2946,464,516,87
12,Panvel Region,Sindhudurg,29657,10483,3767,3214,959,725,31,0,8597,342,21,18,29,60,1,1469,34,1451,1107,309,346,27
13,Kolhapur Region,Kolhapur,267476,53610,43314,31314,15139,91,546,0,11734,914,494,32,80,178,0,9151,598,5488,4263,13905,14887,678
14,Kolhapur Region,Sangli,156629,36049,35135,13660,9532,297,731,0,6422,749,38,21,22,101,0,4920,268,5079,3068,10640,10675,135
15,Kolhapur Region,Satara,159396,23733,26509,13881,9878,119,2676,0,8267,1073,67,42,24,92,0,5136,226,5489,4230,13554,13176,146
16,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Pune Region,Pune,547910,295239,175197,146595,31708,949,7672,0,56583,5254,3053,345,1307,839,41,24709,2920,13414,15488,13275,8838,1777
18,Pune Region,Solapur,162639,31779,54571,11194,10220,215,434,0,8099,241,99,8,21,115,0,6531,295,5800,2746,9382,9955,32
19,Pune Region,Pimpri-Chinchwad,216150,85760,38644,33339,11521,65,2644,0,5944,550,881,45,442,268,0,5814,294,8527,9122,5322,2678,335
20,Pune Region,Baramati,45953,1854,353,3717,2325,7,186,0,944,0,72,4,27,30,6,2338,329,2692,2668,2809,4554,74
21,Pune Region,Akluj,13893,4,0,1525,331,0,12,0,150,0,0,2,1,2,0,231,35,643,226,757,430,6
22,Nashik Region,Nashik,285731,83751,49507,38934,20740,91,2854,0,22094,770,238,199,159,249,0,7241,366,9459,3933,26510,17692,604
23,Nashik Region,Ahmednagar,127447,22274,33914,7339,5338,254,847,0,4015,746,43,23,22,75,0,3513,163,3842,2976,7936,6720,536
24,Nashik Region,Srirampur,143276,9643,18998,8842,6635,775,2092,0,3915,1,15,86,47,97,0,3649,346,3586,3124,12709,11863,212
25,Nashik Region,Malegaon,57256,5790,3668,3630,2521,2,905,0,5661,2,15,16,4,27,0,2783,72,2301,632,4893,5745,107
26,Dhule Region,Dhule,74860,15211,22286,7091,4524,135,1805,0,8738,616,182,52,16,69,0,5463,296,3102,1889,8664,8283,102
27,Dhule Region,Jalgaon,171307,33562,50694,12158,6425,521,1727,0,16093,726,266,61,944,108,0,4372,278,4193,3126,13778,14353,152
28,Dhule Region,Nandurbar,16913,78,1180,1034,843,220,129,0,294,0,17,2,17,5,0,206,59,264,493,1841,1357,135
29,Aurangabad Region,Aurangabad,191614,58696,47047,20728,11677,273,2487,0,22837,2592,369,232,204,116,0,7206,941,6975,5376,10819,7595,231
30,Aurangabad Region,Jalna,50443,4916,7858,2301,2276,128,447,0,2059,242,2,12,11,61,0,887,136,1353,1345,4670,3973,30
31,Aurangabad Region,Beed,52092,6938,14662,4133,7644,1,87,0,4799,440,33,36,16,7,0,3027,208,2000,1212,4721,4310,21
32,Latur Region,Latur,55831,6953,18863,5684,4312,387,603,0,7019,360,95,47,26,21,9,3692,93,2247,2202,5125,4505,9
33,Latur Region,Osmanabad,32889,1582,3647,3038,2708,54,272,0,2478,307,22,11,1,15,0,2073,57,1339,951,4274,3248,70
34,Latur Region,Ambejogai,5253,10,298,345,379,0,0,0,553,0,0,0,0,0,0,355,7,142,371,354,89,0
35,Nanded Region,Nanded,56996,10610,19017,5089,4944,42,184,0,10968,409,278,42,36,59,1,5657,227,1134,465,2869,2495,4
36,Nanded Region,Parbhani,35965,2833,9273,2091,3487,19,370,0,5017,319,52,20,26,71,0,1730,70,1086,517,1993,1442,32
37,Nanded Region,Hingoli,20474,2463,6162,1640,1919,0,324,0,2223,10,85,0,6,35,0,961,47,810,266,2396,1781,5
38,Amrawati Region,Amrawati,86947,34616,66613,8725,4105,329,843,0,12045,502,204,24,24,75,0,3812,164,1727,2180,5261,4300,162
39,Amrawati Region,Buldhana,66332,7040,18088,2858,2783,183,1163,0,6902,440,130,35,28,83,0,1555,47,1635,1363,6784,5543,81
40,Amrawati Region,Yawatmal,58107,15906,32802,4256,3237,53,888,0,7366,395,229,26,12,56,55,2598,113,1042,1226,3276,3069,50
41,Amrawati Region,Akola,54112,17954,28567,5373,3363,6,1453,0,6582,450,165,32,25,65,0,2727,64,1092,1075,3508,3153,102
42,Amrawati Region,Washim,32864,7510,13991,1892,1717,3,341,0,3375,0,61,11,0,32,0,753,22,516,572,3303,2758,18
43,Nagpur(U) Region,Nagpur,242618,209746,243226,53750,15266,679,1160,0,14580,2216,312,208,1189,309,873,11669,978,9731,4740,4821,4837,1007
44,Nagpur(U) Region,Wardha,39600,16776,20952,2753,1397,28,132,0,3022,237,42,4,3,12,0,970,18,651,756,1801,1634,8
45,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Nagpur(R) Region,Nagpur,19543,5511,6773,1088,290,0,88,0,553,186,10,26,122,11,75,797,9,764,428,941,344,16
47,Nagpur(R) Region,Gadchiroli,18618,3577,1830,574,791,1,213,0,320,4,13,6,28,51,4,191,10,226,48,1561,1464,6
48,Nagpur(R) Region,Chandrapur,75420,31472,34512,7596,4757,51,540,0,5019,358,67,71,84,188,40,5399,127,1824,1371,4285,3818,226
